text,category
बेंगलुरू अप्रैल कर्नाटक राजनीति शुक्रवार तूफान आया ठेकेदार संतोष पाटिल कथित आत्महत्या उपजे विवाद कर्नाटक मंत्री ईश्वरप्पा राज्य मंत्रिमंडल इस्तीफा दे कर्नाटक मंत्री केएस ईश्वरप्पा मुख्यमंत्री बसवराज बोम्मई आवास पहुंच उन्‍हें इस्तीफा सौंप कांग्रेस मुद्दा उठाकर कर्नाटक भाजपा बड़ी समस्‍या डाल क्योंकि ठेकेदार प्रभावशाली लिंगायत जाति लिंगायत समाज बीजेपी समर्थन ईश्‍वरप्‍पा इस्‍तीफा भाजपा आलाकमान डैमेज कंट्रोल है़ ईश्वरप्पा कुरुबा समर्थन आधार जेकर बीजेपी मुश्किल खड़ी ओबीसी जाति आते कांग्रेस नेता सिद्धरमैया कुरुबा जाति नेता समर्थन प्राप्त बोम्मई ईश्वरप्पा मुकाबला पर्याप्त मजबूत नहीं आलाकमान मामले हस्तक्षेप बता दें चुनाव कर्नाटक विधानसभा चुनाव साल बचे मृतक ठेकेदार परिवार ईश्वरप्पा गिरफ्तारी चाहता मामला जल्‍द राजनीतिक मुद्दे बदलता oneindiacomकर्नाटक बोम्मई सरकार मंत्री ईश्वरप्पा इस्तीफा ठेकेदार मौत मामले आरोप,politics
बिहार कांग्रेस अध्यक्ष मोहन झा इस्तीफे कांग्रेस सेनापति तलाश शुरू अध्यक्ष चर्चा बाजार कांग्रेस दौर सेनापति कमान सौंपने तैयारी सामाजिक समीकरण साधा जाए गठबंधन दौर हैसियत घटे वैसे माना कांग्रेस आलाकमान मुद्दे चौंकाने वाला फैसला ले कांग्रेस अध्यक्ष नाम चर्चा नाम रेस काफी कन्हैया चेहरा जाना पहचाना हालाकि सूत्रों कहना कन्हैया अध्यक्ष बनना इतना आसान नहीं कांग्रेस वरिष्ठ नेता कन्हैया स्वीकार करेंगे आसार कन्हैया अध्यक्ष बनना आसान नहीं सूत्र बताते अध्यक्ष बनने दौड़ कुटुंबा विधायक विधायक राजेश राम पूर्व सांसद रंजीता रंजन राज्यसभा सांसद अखिलेश सिंह वैसे विजय शंकर दुबे रेस बताए बार ब्राह्मण अध्यक्ष बनें संभावना सूत्रों कहना कांग्रेस बिहार सवर्णों राजनीति करती कांग्रेस बार सवर्ण अध्यक्ष बनाकर सवर्णों साधने कोशिश करेगी राज्यसभा सांसद अखिलेश सिंह कन्हैया कुमार भूमिहार जाति आते तर्क सवर्ण अध्यक्ष हटने कांग्रेस राजेश राम अध्यक्ष बनाकर दलित मतदाताओं साधने कोशिश वैसे नाम कांग्रेस फूट दिखाई दे नाम नहीं कांग्रेस नाराजगी देखने नहीं मिले वरिष्ठ कांग्रेस नेताओं तर्क बिहार कांग्रेस कमान नेता दी जाए जनता पसंद बहरहाल बिहार कांग्रेस अध्यक्ष इतना अध्यक्ष बने राह आसान नहीं रहने वाली अध्यक्ष बनते विरोधी खेमा तैयार जाएगा माना कांग्रेस आलाकमान अध्यक्ष फैसला चौंकाने वाला हैBihar मिलेगा नया सेनापति कन्हैया कुमार नाम चर्चा,politics
नयी दिल्ली अप्रैल भाषा आदमी पार्टी नेता आतिशी शुक्रवार भारतीय जनता पार्टी गुंडों बलात्कारियों पार्टी बताया गौरतलब मुख्यमंत्री अरविंद केजरीवाल आवास हमला आरोप गिरफ्तार युवा मोर्चा कार्यकर्ताओं भाजपा सम्मानित संवाददाता सम्मेलन संबोधित कालकाजी विधायक आतिशी लोगों माला पहनाकर सम्मान देकर भाजपा असली चेहरा दिखाया भाजपा दिल्ली इकाई अध्यक्ष आदेश गुप्ता बृहस्पतिवार भारतीय जनता युवा मोर्चा बीजेवाईएम कार्यकर्ताओं पार्टी कार्यालय सम्मानित कार्यकर्ता मार्च केजरीवाल आवास कथित रूप हमला मामले जेल हाल जमानत दिल्ली उच्च न्यायालय सप्ताह शुरुआत कार्यकर्ताओं जमानत दे दी आतिशी आरोप लगाया युवा मोर्चा कार्यकर्ताओं सम्मानित करके भाजपा दिखा गुंडों लुच्चों लफंगों सम्मान करती विधायक करके उन्होंने भाजपा देशभर कार्यकर्ताओं संदेश पार्टी लोगों बढ़ावा देगी तोड़फोड़ छेड़खानी करेंगे आतिशी गुंडागर्दी बढ़ावा देना भाजपा डीएनए विधायक भाजपा भारतीय गुंडा पार्टी गुंडों बलात्कारियों छेड़खानी वालों पार्टी आतिशी भाजपा नेताओं सम्मान करती बढ़ावा देती सरकार कैबिनेट मंत्री देकर सम्मान देती भाषा अर्पणा उमा उमा ‘भाषा’ न्यूज़ एजेंसी ‘ऑटोफीड’ ली कंटेट दिप्रिंट जिम्मेदार नहीं हैगुंडों बलात्कारियों पार्टी भाजपा विधायक आतिशी,politics
मुख्यमंत्री नीतीश कुमार सीएम आवास इफ्तार पार्टी आयोजन पार्टी पक्ष विपक्ष नेता शामिल पहुंचे पटना सीएम नीतीश कुमार मुख्यमंत्री आवास अर्णे मार्ग इफ्तार पार्टी आयोजन साल मुख्यमंत्री आवास इफ्तार पार्टी दी पार्टी पक्ष विपक्ष नेताओं आमंत्रित मुस्लिम समाज प्रमुख लोगों इफ्तार दावत दी लोग सीएम इफ्तार पार्टी शामिल पहुंचे बीजेपी प्रदेश अध्यक्ष संजय जायसवाल पूर्व मुख्यमंत्री जीतन राम मांझी उद्योग मंत्री शाहनवाज हुसैन मंत्री नितिन नवीन सहित बडे़ नेता मुख्यमंत्री आवास आयोजित इफ्तार पार्टी शामिल पहुंचे विपक्षी नेताओं आरजेडी पूर्व प्रदेश अध्यक्ष रामचंद्र पूर्वे कांग्रेस शकील खान सीएम आवास पहुंचे जदयू मंत्री इफ्तार पार्टी शामिल बीजेपी सांसद रामकृपाल यादव पार्टी पहुंचे पढ़ें सीएम नीतीश आवास इफ्तार पार्टी दावत शामिल होंगे दिग्गज नेता ऐसी सीएम इफ्तार पार्टी इफ्तार पार्टी नॉनवेज वेज व्यवस्था विशेष रूप कारीगरों बुलाया अधिक कारीगरों इफ्तार शाकाहारी मांसाहारी भोजन बनाया कदमकुंआ कारीगरों टीम बुलाया पंडाल विशेष व्यवस्था लोगों टीम सीएम हाउस काम सुरक्षा पुख्ता इंतजाम इफ्तार आने लोगों सुरक्षा पूरी जांच पड़ताल सीएम आवास एंट्री दी साल लगातार कोरोना कारण मुख्यमंत्री आवास इफ्तार पार्टी आयोजन नहीं साल कोरोना नियंत्रण मुख्यमंत्री इफ्तार पार्टी आयोजन फैसला मुख्यमंत्री आयोजन निगरानी बिहार मुख्य सचिव आमिर सुबहानी शुरू आयोजन महत्वपूर्ण भूमिका निभाते मुख्यमंत्री आमिर सुबहानी जिम्मेदारी देते जमा खान इफ्तार पार्टी शामिल सीएम बता दें बिहार सरकार अल्पसंख्यक कल्याण मंत्री जमा खान अप्रैल सरकारी आवास इफ्तार पार्टी आयोजन मुख्यमंत्री नीतीश कुमार सहित लोग शामिल इफ्तार पार्टी बौद्ध भिक्षु शामिल उन्होंने सीएम भगवान बुद्ध तस्वीर भेंट स्वागत अल्पसंख्यक कल्याण मंत्री जमा खान आवास इफ्तार रोजे नमाज अदा अप्रैल शुरू पाक महीनाः आपको बता दें रमजान पाक महीना अप्रैल शुरू शनिवार अप्रैल चांद देखे रविवार रोजा रखने ऐलान सियासी गलियारों इफ्तार दावत शुरू उद्योग मंत्री शाहनवाज हुसैन सुपौल इफ्तार शरीक अल्पसंख्यक कल्याण मंत्री जमा खान आवास इफ्तार पार्टी रखी सीएम नीतीश कुमार शरीक पढ़ें उद्योग मंत्री शाहनवाज हुसैन खोला पहला रोजा मांगी दुआ सबका रोजा कबूल होCM नीतीश इफ्तार पार्टी शामिल पहुंचे नेता पक्ष विपक्ष लगा जमावड़ा,politics
दिप्रिंट संपादकों चयनित कार्टून प्रकाशनों प्रकाशित चुके प्रिंट मीडिया ऑनलाइन सोशल मीडिया फीचर कार्टून प्रसाद दिल्ली पुलिस हलफनामे निशाना साधा उसने सुप्रीम कोर्ट बताया दिसंबर राजधानी धर्म संसद मुस्लिम समुदाय बयान नहीं मध्य प्रदेश खरगोन अवैध घरों बुलडोज़र तोड़ने तंज मंजुल वो संविधान मूल्यों संदीप अध्वर्यू दिल्ली हाई कोर्ट पिछले महीने फैसले निशाना साध चेहरे हंसी जाए अपराध नहीं माना कीर्तीश भट्ट भारतीय राजनेताओं तंज आंबेडकर विरासत जश्न मना भारतीय संविधान लिखे मूल्यों बिल्कुल ध्यान नहीं देते महाराष्ट्र बिजली कारण पैदा संकट चित्रित आलोक निरंतर शिवसेना सांसद संजय राउत संपत्ति ईडी कार्रवाई निशाना साध भारत पूर्व प्रधानमंत्रियों कार्यकाल उपलब्धियों विवादों पेश प्रधानमंत्री संग्रहालय निशाना साध सतीश आचार्य कार्टून्स अंग्रेज़ी देखने क्लिक करेंआंबेडकर जयंती बाबा साहेब बनाम बुलडोज़र संविधान बेरुखी,politics
विपक्षियों भाषा जवाब देगी योगी सरकार संवाद सहयोगी बिधूना औरैया विधानसभा चुनाव विपक्षी सन्यासी भेजने जवाब प्रचंड बहुमत योगी सरकार दोबारा बनाकर लोकतंत्र मुख्यमंत्री लट्ठ बजाने काम करेंगे विपक्षियों भाषा जवाब मिलेगा शुरू चुका शुक्रवार बिधूना रामलीला मैदान आयोजित भारतीय जनता पार्टी 42वें स्थापना दिवस आयोजित कार्यक्रम बातें सपा संरक्षक मुलायम सिंह यादव छोटी बहू भाजपा नेता अपर्णा यादव कही उन्होंने यादव बहू हूं मैंने परिवार नहीं छोड़ा सिर्फ राष्ट्रवाद पार्टी छोड़ी स्थापना दिवस रामलीला मैदान कार्यक्रम आयोजित मुख्य अतिथि बतौर भाजपा नेता अपर्णा यादव कन्नौज भाजपा सांसद सुब्रत पाठक मौजूद अपर्णा मंच संभालते कार्यकर्ताओं समर्थकों संबोधित भाजपा सरकार काम नहीं विपक्षियों मंसूबों जनता चुकी विधानसभा भारी मतों योगी जी दोबारा मुख्यमंत्री कुर्सी दी उन्होंने विपक्ष शब्दों प्रहार योगी सरकार नीतियों जनता खुश जनकल्याणकारी योजनाओं लाभ मिला भूमाफिया शांति व्यवस्था बिगाड़ने वालों कार्रवाई बेटियों महिलाओं सुरक्षा शिक्षा अलावा क्षेत्र सरकार कार्य सराहनीय भाजपा नेता पूर्व मुख्यमंत्री मुलायम सिंह यादव साढ़ू प्रमोद गुप्ता जिलाध्यक्ष श्रीराम मिश्रा सांसद प्रतिनिधि रिया शाक्य गोविंद भदौरिया रामपाल भदौरिया रघुराज शाक्य गुड्डू वर्मा राजेश चौहान अनिल शुक्ला सतीश चंद्र गोयल पार्टी कार्यकर्ता मौजूद रहेविपक्षियों भाषा जवाब देगी योगी सरकार,politics
बिहार पूर्व सीएम जीतन राम मांझी राम भगवान नहीं तुलसीदासवाल्मीकि किरदार कहने बनाया अच्छी चीजें सम्मान तुलसीदासवाल्मीकि सम्मान हूं राम नहीं राम भगवान नहीं जीतन राम मांझी,politics
पत्थलगांवनईदुनिया न्यूज भाजपा विधानसभा चुनावों तैयारी शुरू दी कुनकुरी मंगल रखी जिलास्तरीय बैठक मद्देनजर निर्णय सरकार विफलताओं उजागर भाजयुमो कार्यकर्ताओं आगामी विरोध प्रदर्शन धरना प्रदर्शन घेराव योजना तैयार भारतीय जनता युवा मोर्चा जशपुर जिला कार्यसमिति बैठक कुनकुरी रखी जिला पंचायत उपाध्यक्ष उपेन्द्र यादवप्रदेश कार्यकारणी सदस्य नितिन रायजिला अध्यक्ष युवा मोर्चा शर्माजिला उपाध्यक्ष युवा मोर्चा शौर्य प्रताप जूदेवजिलामहामंत्री युवा मोर्चा अवधेश गुप्ता जिला उपाध्यक्ष गोपाल कश्यप उपस्थिति आयोजित बैठक जिला कार्यकारिणी सदस्य मण्डलों अध्यक्ष महामंत्री मौजूद बैठक जिला कार्यकारिणी आगामी कार्यक्रमों विस्तृत जानकारी युवा मोर्चा कार्यकर्ताओं दी मण्डल अध्यक्ष जिला कार्यकारिणी समक्ष कार्यों लेखाजोखा प्रस्तुत वाली विधानसभा चुनाव तैयारियों चर्चा विधानसभा बड़े तहसील घेराव रूपरेखा तैयार जिले कलेक्टर कार्यालय घेराव रूप रेखा बनाई अलावा प्रदेश बड़े धरना प्रदर्शन बड़ी संख्या उपस्थिति दर्ज कराने योजना बनाई उक्ताशय जानकारी देते भाजयुमो जिला महामंत्री अवधेश गुप्ता बताया बैठक भाजपा सरकार बनाने संकल्प अनुक्रम बैठक उपस्थित वरिष्ठ नेताओं कार्यकर्ताओं मार्गदर्शन उन्होंने प्रदेश भूपेश बघेल सरकार पूरी निकम्मी साबित शासकीय योजना भ्रष्टाचार भर्राशाही शिकार कांग्रेसी केवल केंद्र सरकार योजनाओं फीता काटकर वाहवाही लूटने लगे कहना लोगों एहसास चुका चुनाव निकट चुका देखते वरिष्ठ नेताओं भाजपा कार्यकर्ताओं योजनाबद्ध तरीके तालमेल बनाकर कार्य निर्देशित भाजयुमो कार्यकर्ता कसौटी खरे उतरेंगेसत्ता वापसी भाजपा कसी कमरबैठक बनाई आंदोलन रणनीति,politics
ईश्वरप्पा मेरे आरोप लगाया मुझे इससे बेदाग आना नहीं जांच जारी रहने मंत्री बना रहता हूं महसूस होगा उसको प्रभावित हूं इस्तीफे कर्नाटक ग्रामीण विकास पंचायत राज मंत्री ईश्वरप्पा शुक्रवार समर्थकों पार्टी कार्यकर्ताओं साजिश लगाए आरोपों बेगुनाह साबित होकर निकलेंगे निश्चित रूप दोबारा मंत्री बनेंगे ईश्वरप्पा पुलिस ठेकेदार संतोष पाटिल आत्महत्या उकसाने मामला दर्ज मंत्री मुख्यमंत्री बसवराज बोम्मई इस्तीफा सौंपेंगे ईश्वरप्पा मेरे आरोप लगाया मुझे इससे बेदाग आना नहीं जांच जारी रहने मंत्री बना रहता हूं महसूस होगा उसको प्रभावित हूं मंत्री इस्तीफा दे हूं आपको बता हूं निर्दोष निकलूंगा निश्चित रूप बार मंत्री बनूंगा उन्होंने बात समर्थकों पार्टी कार्यकर्ताओं बताई बेंगलुरू रवाना उनसे इस्तीफा नहीं देने नारे लगा राजनीतिक हंगामे ईश्वरप्पा बृहस्पतिवार शाम मंत्री रूप इस्तीफे घोषणा पार्टी कार्यकर्ता दुखी रो इस्तीफा दें उन्होंने पत्रकारों बात उन्होंने समर्थकों स्पष्ट रूप बताया अग्नि परीक्षा आरोप लगाया लोगों विरुद्ध षड्यन्त्र रचा उन्होंने मैंने उनसे पूछा मुझे आरोपों बेदाग निकलना नहीं उन्होंने मुझे बेदाग निकलना हमारे कार्यकर्ताओं वरिष्ठों स्वामीजी आशीर्वाद मुझे भरोसा साजिश बेदाग निकलूंगा उन्होंने शाम मुख्यमंत्री बोम्मई इस्तीफा सौंप जून शुरू होगी अमरनाथ यात्रा रखी जाएगी पैनी जानिये बार खासनिर्दोष साबित बार मंत्री बनूंगा इस्तीफे बोले,politics
प्रधानमंत्री नरेंद्र मोदी वियतनाम कम्युनिस्ट पार्टी महासचिव गुयेन फु ट्रोंग यूक्रेन संकट दक्षिण चीन सागर स्थिति सहित साझा हित क्षेत्रीय वैश्विक मुद्दों टेलीफोन बातचीत विदेश मंत्रालय मिली सूचना मुताबिक नेताओं यूक्रेन संकट जल्द समाप्त तरीकों बातचीत प्रधानमंत्री नरेंद्र मोदी गुयेन फु ट्रोंग बातचीत चीन व्यापक पड़ने संभावना इंकार नहीं हैPM नरेंद्र मोदी वियतनाम शीर्ष नेता यूक्रेन संकट बातचीत,politics
विस्तार हिमाचल प्रदेश कैबिनेट बैठक अप्रैल प्रस्तावित बैठक मुख्यमंत्री जयराम ठाकुर शुक्रवार हिमाचल दिवस चंबा घोषणाओं मंजूरी दी जाएगी बैठक ग्रामीण क्षेत्रों निशुल्क पेयजल महिलाओं सरकारी बसों किराये फीसदी छूट देने तारीख जाएगी प्रतिमाह यूनिट बिजली उपभोक्ताओं निशुल्क सप्लाई देने फैसले बैठक मंजूरी दी जाएगीकैबिनेट बैठक हिमाचल दिवस घोषणाएं होंगी मंजूर,politics
विस्तार प्रदेश कांग्रेस अध्यक्ष कुलदीप राठौर कांग्रेस देश सबसे पुरानी पार्टी इसने देश आजाद करवाने आधुनिक बनाने योगदान चुनावों पार्टियों हारजीत लगी हैशिमला प्रदेश कांग्रेस अध्यक्ष बोले उपचुनावों मिली हार भूल मुख्यमंत्री,politics
कन्नौज जागरण संवाददाता भाजपा भरपूर सम्मान मिला नीतियां जनहित भाजपा सम्मान महिलाएं सुरक्षित बात अपर्णा यादव भाजपाइयों कही शुक्रवार औरैया बिधूना निजी कार्यक्रम शामिल भाजपा अपर्णा यादव आगरालखनऊ एक्सप्रेसवे फगुआ भट्ठा टोल प्लाजा भाजपाइयों काफिला रोक भाजपा नेता सौरभ गुप्ता प्रतीक चिन्ह मांग फगुआ भट्ठा एक्सप्रेसवे पैदल यात्रियों उतरने रास्ता नहीं लिंक रोड दूरी पड़ इससे यात्री पत्थरों सहारे उतरते पत्थर फिसलकर बार यात्री घायल चुके इससे सीढ़ी निर्माण कराया जाए मांगों कराने भरोसा अपर्णा यादव भाजपा राज महिलाएं सुरक्षित भाजपा आने खुश उन्होंने योगी सरकार योजनाओं तारीफ मौके आयुष गुप्ता जितेंद्र गुप्ता गौरव दि्ववेदी समेत लोग मौजूद बिधूना पहुंचीं बिधूना रामलीला मैदान आयोजित भारतीय जनता पार्टी 42वें स्थापना दिवस आयोजित कार्यक्रम अपर्णा यादव पहुंची वहां विपक्ष कटाक्ष अपर्णा विधानसभा चुनाव विपक्षी सन्यासी भेजने जवाब प्रचंड बहुमत योगी सरकार दोबारा बनाकर लाेकतंत्र मुख्यमंत्री लट्ठ बजाने काम करेंगे विपक्षियों भाषा जवाब मिलेगा शुरू चुका सपा संरक्षक मुलायम सिंह यादव छोटी बहू भाजपा नेता अपर्णा यादव कही उन्होंने यादव बहू हूं मैंने परिवार नहीं छोड़ा सिर्फ राष्ट्रवाद पार्टी छोड़ी स्थापना दिवस रामलीला मैदान कार्यक्रम आयोजित मुख्य अतिथि बतौर भाजपा नेता अपर्णा यादव कन्नौज भाजपा सांसद सुब्रत पाठक मौजूद अपर्णा मंच संभालते कार्यकर्ताओं समर्थकों संबोधित भाजपा सरकार काम नहीं विपक्षियों मंसूबों जनता चुकी विधानसभा भारी मतों योगी जी दोबारा मुख्यमंत्री कुर्सी दी उन्होंने विपक्ष शब्दों प्रहार योगी सरकार नीतियों जनता खुश जनकल्याणकारी योजनाओं लाभ मिला भूमाफिया शांति व्यवस्था बिगाड़ने वालों कार्रवाई हैबेटियों महिलाओं सुरक्षा शिक्षा अलावा क्षेत्र सरकार कार्य सराहनीय भाजपा नेता पूर्व मुख्यमंत्री मुलायम सिंह यादव साढ़ू प्रमोद गुप्ता जिलाध्यक्ष श्रीराम मिश्रा सांसद प्रतिनिधि रिया शाक्य गोविंद भदौरिया रामपाल भदौरिया रघुराज शाक्य गुड्डू वर्मा राजेश चौहान अनिल शुक्ला सतीश चंद्र गोयल पार्टी कार्यकर्ता मौजूद रहेअपर्णा बोलीं राष्ट्र पार्टी छोड़ी परिवार नहीं भाजपा राज महिलाएं सुरक्षित विपक्षियों भाषा मिलेगा जवाब,politics
अखिल भारतीय कांग्रेस कमेटी महासचिव भंवर जितेंद सिंह मीडिया बातचीत दिन उत्तर प्रदेश यूपी विधानसभा चुनाव समीक्षा करेंगे कांग्रेस उत्तर प्रदेश लोकसभा चुनाव तैयारी शुरू दी पार्टी पदाधिकारी बूथ स्तर कार्यकर्ताओं फीडबैक ले जिसके आधार रणनीति तैयार होगी पूर्व केंद्रीय मंत्री अखिल भारतीय कांग्रेस कमेटी राष्ट्रीय महासचिव भंवर जितेंद सिंह शुक्रवार जानकारी दी मीडिया बातचीत भंवर जितेंद सिंह अगले दिन उत्तर प्रदेश विधानसभा चुनाव नतीजों समीक्षा करेंगे पार्टी वरिष्ठ पदाधिकारियों बूथ स्तर काम कार्यकर्ताओं मुलाकात जाएगी प्रतिक्रिया ली जाएगी रिपोर्ट पार्टी वरिष्ठ पदाधिकारियों सौंपेंगे भंवर जितेंद सिंह बताया पार्टी चुनाव परिणाम विशाल समीक्षा जुटी जल्द पार्टी मजबूत रणनीति काम शुरू जाएगा उन्होंने महंगाई बेरोजगारी मुद्दों आदमी जिंदगी बेहाल रखा उससे निजात कांग्रेसी दिला राष्ट्रीय महासचिव चुनाव पार्टी खराब प्रदर्शन कार्यकर्ताओं पार्टी नेता राय दे भविष्य रणनीति बात वाराणसी झांसी विभिन्न जिलों कार्यकर्ताओं बैठक होगी जिसके आलाकमान रिपोर्ट सौंपी जाएगी उन्होंने बताया प्रदेश प्रदेश अध्यक्ष घोषणा जल्द होगी उन्होंने बताया प्रदेश प्रदेश अध्यक्ष घोषणा जल्द होगी पढ़ेंहार कांग्रेस मंथन शुरू कांग्रेस नेता अशोक सिंह बोले हारे हौंसला नहीं टूटा पार्टी प्रवक्ता संजय सिंह बताया राष्ट्रीय महासचिव भंवर जितेंद सिंह शुक्रवार बाराबंकी प्रतापगढ़ अमेठी रायबरेली बहराइच उन्नाव कानपुर कानपुर देहात हरदोई सीतापुर श्रावस्ती बलरामपुर गोंडा कार्यकर्ताओं मुलाकात अप्रैल सुलतानपुर बस्ती संतकबीरनगर सिद्धार्थ महाराजगंज गोरखपुर कुशीनगर देवरिया अयोध्या अंबेडकर लखीमपुर खीरी शाहजहांपुर पीलीभीत कार्यकर्ताओं मिलेंगे अलावा सेवादल यूथ कांग्रेस महिला कांग्रेस राष्ट्रीय छात्र संगठन अल्पसंख्यक अनुसूचित जाति पिछड़ा विभाग पदाधिकारियों मुलाकात करेंगे प्रेस कॉन्फ्रेंस कांग्रेस राष्ट्रीय सचिव सत्यनारायण पटेल राजेश तिवारी मीडिया विभाग चेयरमैन नसीमुद्दीन सिद्दीकी सहित पार्टी वरिष्ठ नेता मौजूद रहेयूपी कांग्रेस शुरू लोकसभा चुनाव तैयारी,politics
